CODPROD;DESCRICAO;QT;DTMOV
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;04/01/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;05/01/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;30/01/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;08/02/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;22/02/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;29/02/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;11/03/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;09/04/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;22/04/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;26/04/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;22/05/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;17/06/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;26/06/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;23/07/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;30/07/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;12/09/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;1;17/09/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;2;16/01/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;2;22/01/24
3218;GALVA G 65M BR TORTA RET PEQUEN 2KG C/50;2;29/02/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;05/01/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;08/02/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;16/02/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;20/02/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;28/05/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;20/06/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;28/06/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;17/07/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;30/07/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;20/08/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;30/08/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;1;10/09/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;2;04/01/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;2;04/01/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;2;16/01/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;2;24/01/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;2;31/01/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;2;31/01/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;2;15/02/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;2;10/05/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;2;31/05/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;2;09/07/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;2;16/07/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;3;19/03/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;3;01/05/24
5146;GALVA G 303 POTE FREEZER 400ML C/100;4;05/06/24
5763;GALVA G 78M TORTA RET JUMBO 5KG C/40;1;03/08/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;16/01/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;17/01/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;23/01/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;30/01/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;31/01/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;08/02/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;20/02/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;20/02/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;21/02/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;22/02/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;10/04/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;24/04/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;29/04/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;16/05/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;29/05/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;14/06/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;18/06/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;19/07/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;13/08/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;30/08/24
5912;GALVA G 742D POTE REDONDO 250ML C/200;1;07/09/24
